0000;Cc;BN
0001;Cc;BN
0002;Cc;BN
0003;Cc;BN
0004;Cc;BN
0005;Cc;BN
0006;Cc;BN
0007;Cc;BN
0008;Cc;BN
0009;Cc;S
000A;Cc;B
000B;Cc;S
000C;Cc;WS
000D;Cc;B
000E;Cc;BN
000F;Cc;BN
0010;Cc;BN
0011;Cc;BN
0012;Cc;BN
0013;Cc;BN
0014;Cc;BN
0015;Cc;BN
0016;Cc;BN
0017;Cc;BN
0018;Cc;BN
0019;Cc;BN
001A;Cc;BN
001B;Cc;BN
001C;Cc;B
001D;Cc;B
001E;Cc;B
001F;Cc;S
0020;Zs;WS
0021;Po;ON
0022;Po;ON
0023;Po;ET
0024;Sc;ET
0025;Po;ET
0026;Po;ON
0027;Po;ON
0028;Ps;ON
0029;Pe;ON
002A;Po;ON
002B;Sm;ES
002C;Po;CS
002D;Pd;ES
002E;Po;CS
002F;Po;CS
0030;Nd;EN
0031;Nd;EN
0032;Nd;EN
0033;Nd;EN
0034;Nd;EN
0035;Nd;EN
0036;Nd;EN
0037;Nd;EN
0038;Nd;EN
0039;Nd;EN
003A;Po;CS
003B;Po;ON
003C;Sm;ON
003D;Sm;ON
003E;Sm;ON
003F;Po;ON
0040;Po;ON
0041;Lu;L
0042;Lu;L
0043;Lu;L
0044;Lu;L
0045;Lu;L
0046;Lu;L
0047;Lu;L
0048;Lu;L
0049;Lu;L
004A;Lu;L
004B;Lu;L
004C;Lu;L
004D;Lu;L
004E;Lu;L
004F;Lu;L
0050;Lu;L
0051;Lu;L
0052;Lu;L
0053;Lu;L
0054;Lu;L
0055;Lu;L
0056;Lu;L
0057;Lu;L
0058;Lu;L
0059;Lu;L
005A;Lu;L
005B;Ps;ON
005C;Po;ON
005D;Pe;ON
005E;Sk;ON
005F;Pc;ON
0060;Sk;ON
0061;Ll;L
0062;Ll;L
0063;Ll;L
0064;Ll;L
0065;Ll;L
0066;Ll;L
0067;Ll;L
0068;Ll;L
0069;Ll;L
006A;Ll;L
006B;Ll;L
006C;Ll;L
006D;Ll;L
006E;Ll;L
006F;Ll;L
0070;Ll;L
0071;Ll;L
0072;Ll;L
0073;Ll;L
0074;Ll;L
0075;Ll;L
0076;Ll;L
0077;Ll;L
0078;Ll;L
0079;Ll;L
007A;Ll;L
007B;Ps;ON
007C;Sm;ON
007D;Pe;ON
007E;Sm;ON
007F;Cc;BN
0080;Cc;BN
0081;Cc;BN
0082;Cc;BN
0083;Cc;BN
0084;Cc;BN
0085;Cc;B
0086;Cc;BN
0087;Cc;BN
0088;Cc;BN
0089;Cc;BN
008A;Cc;BN
008B;Cc;BN
008C;Cc;BN
008D;Cc;BN
008E;Cc;BN
008F;Cc;BN
0090;Cc;BN
0091;Cc;BN
0092;Cc;BN
0093;Cc;BN
0094;Cc;BN
0095;Cc;BN
0096;Cc;BN
0097;Cc;BN
0098;Cc;BN
0099;Cc;BN
009A;Cc;BN
009B;Cc;BN
009C;Cc;BN
009D;Cc;BN
009E;Cc;BN
009F;Cc;BN
00A0;Zs;CS
00A1;Po;ON
00A2;Sc;ET
00A3;Sc;ET
00A4;Sc;ET
00A5;Sc;ET
00A6;So;ON
00A7;Po;ON
00A8;Sk;ON
